FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
04013114900,AZ,79.3,416.04,0.6,22.85,15.23,14.06,2489.69,4.61,47.9
04013115200,AZ,75.1,345.15,0.4,21.97,13.13,19.08,1222.65,9.2,34.3
04013115300,AZ,73.8,903.84,0.6,9.99,12.44,16.17,1725.47,11.62,43.1
04013115400,AZ,73.0,423.36,0.36,12.63,11.86,28.5,1745.52,7.8,40.9
04013115500,AZ,76.1,533.11,0.42,13.85,11.08,27.82,3850.83,8.3,44.3
04013115600,AZ,75.0,827.47,0.42,19.17,11.83,12.63,4303.03,3.36,38.1
04013115700,AZ,75.3,478.91,0.42,17.26,10.87,25.32,7462.55,4.04,36.1
04013115801,AZ,71.9,436.5,0.77,20.69,15.23,23.97,8463.26,5.53,37.4
04013115802,AZ,77.5,431.33,0.48,19.95,12.47,29.49,7691.12,4.68,35.7
04013115900,AZ,77.2,531.91,0.44,18.61,12.31,22.18,6275.12,7.85,34.7
04013116000,AZ,79.0,429.73,0.25,22.91,12.33,17.11,7151.21,9.57,31.2
04013116100,AZ,71.5,314.0,0.32,15.34,11.93,26.5,4867.97,6.95,35.3
04013116202,AZ,75.9,470.61,0.49,26.22,14.0,27.05,8935.34,6.21,29.4
04013116203,AZ,76.4,809.28,0.65,10.84,12.41,12.11,2286.42,1.51,25.5
04013116204,AZ,,434.56,0.42,32.87,14.1,30.17,4450.37,5.04,32.8
04013116205,AZ,76.5,453.73,0.3,28.59,12.41,18.87,8910.16,3.1,24.7
04013116300,AZ,74.9,531.09,0.3,22.43,13.2,19.61,5956.11,6.36,30.7
04013116400,AZ,75.9,718.74,0.47,18.14,12.19,20.26,5833.62,5.05,33.9
04013116500,AZ,74.0,470.1,0.52,22.97,14.85,14.9,4979.55,2.65,42.0
04013116602,AZ,,523.43,0.5,23.1,12.47,16.78,7590.83,3.45,34.98
04013116605,AZ,79.4,938.22,0.42,22.8,12.18,17.03,7231.67,5.03,23.7
04013116606,AZ,77.6,661.42,0.37,22.28,12.39,15.96,6120.06,5.84,31.6
04013116607,AZ,,574.0,0.68,16.15,13.67,12.78,4248.99,7.27,24.8
04013116608,AZ,,723.39,0.23,16.62,9.51,6.55,2624.96,6.42,24.4
04013116609,AZ,76.7,778.26,0.37,16.07,11.46,2.03,1426.44,3.87,26.0
04013116610,AZ,,803.12,0.58,18.54,13.31,6.21,3484.68,3.73,23.2
04013116611,AZ,81.1,,0.67,11.55,6.39,19.71,872.5,4.12,24.2
